author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312973975/;Москва;rent;flat;3;6;3;145.0;1300000;0;Хамовники;Курсовой переулок;10/1;Кропоткинская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313737960/;Москва;rent;flat;2;5;2;65.0;75900;0;Люблино;проспект 40 лет Октября;13;Люблино
SKOLKOVO НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/rent/flat/312995216/;Москва;rent;flat;15;53;2;42.0;125000;0;Пресненский;Шмитовский проезд;39к8;Москва-Сити
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313233834/;Москва;rent;flat;6;11;3;102.0;350000;0;Хамовники; Усачева;2С3;Фрунзенская
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/310272405/;Москва;rent;flat;3;37;2;65.0;300000;0;Беговой; 1-я Ямского Поля;1к1;Белорусская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313643079/;Москва;rent;flat;12;16;1;38.6;76900;0;; Эдварда Грига;16к2;Потапово
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313588988/;Москва;rent;flat;57;75;2;105.0;400000;0;Пресненский;1-й Красногвардейский проезд;15;Деловой центр
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/307716072/;Москва;rent;flat;7;7;-1;233.0;500000;0;Арбат;Трубниковский переулок;13С1;Смоленская
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/313755361/;Москва;rent;flat;10;14;3;80.0;110000;0;Черемушки;Новочеремушкинская ;50;Новые Черёмушки
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313543133/;Москва;rent;flat;1;11;3;85.0;300000;0;Пресненский;Краснопресненская набережная;2/1;Краснопресненская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313882733/;Москва;rent;flat;4;8;3;107.0;780000;0;Якиманка;Софийская набережная;34;Новокузнецкая
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/314003755/;Москва;rent;flat;3;17;1;43.0;70000;0;Лефортово;Солдатская ;3;Лефортово
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311337017/;Москва;rent;flat;6;7;3;71.0;330000;0;Пресненский;Садовая-Кудринская ;21А;Маяковская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313765527/;Москва;rent;flat;11;13;2;60.0;280000;0;Пресненский;Большая Садовая ;5к2;Маяковская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/313542069/;Москва;rent;flat;5;5;2;50.0;80000;0;Черемушки; Гарибальди;29К2;Новые Черёмушки
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313299180/;Москва;rent;flat;11;13;2;60.0;280000;0;Пресненский;Большая Садовая ;5к2;Маяковская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313199957/;Москва;rent;flat;11;13;2;60.0;280000;0;Пресненский;Большая Садовая ;5к1;Маяковская
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/314015987/;Москва;rent;flat;1;5;1;30.0;70000;0;Замоскворечье; Малая Ордынка;13С1;Третьяковская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313275224/;Москва;rent;flat;4;8;3;107.0;780000;0;Якиманка;Софийская набережная;34;Новокузнецкая
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/313882734/;Москва;rent;flat;4;4;3;150.0;390000;0;Басманный;Малый Козловский переулок;8;Красные ворота
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313576859/;Москва;rent;flat;10;10;-1;433.0;4600000;0;Замоскворечье;Большая Татарская ;7к1;Новокузнецкая
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311240550/;Москва;rent;flat;4;6;3;138.0;550000;0;Тверской;1-й Колобовский переулок;14;Трубная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310965313/;Москва;rent;flat;2;12;1;36.8;120000;0;Раменки;Винницкая ;8к1;Раменки
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312771238/;Москва;rent;flat;8;11;1;19.5;37800;0;Крюково;проспект Георгиевский;27к2;Зеленоград — Крюково
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313480197/;Москва;rent;flat;10;24;2;58.4;125000;0;Очаково-Матвеевское;Озерная ;9;Очаково
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313348707/;Москва;rent;flat;24;24;2;52.8;80000;0;Метрогородок;Тагильская ;4А;Бульвар Рокоссовского
ID 106373762;homeowner;https://www.cian.ru/rent/flat/313808643/;Москва;rent;flat;26;27;1;41.0;75000;0;Чертаново Южное;Варшавское шоссе;170Ек8;Лесопарковая
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310379645/;Москва;rent;flat;2;5;2;45.1;64900;0;Богородское;Бойцовая ;11;Бульвар Рокоссовского
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/309236956/;Москва;rent;flat;12;25;2;61.3;120000;0;Фили-Давыдково;Давыдковская ;5;Славянский бульвар
Life Style;real_estate_agent;https://www.cian.ru/rent/flat/312723382/;Москва;rent;flat;5;9;4;100.0;140000;0;Сокол;Ленинградский проспект;69С1;Сокол
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313859010/;Москва;rent;flat;4;4;3;150.0;390000;0;Басманный;Малый Козловский переулок;8;Красные ворота
ID 884836;realtor;https://www.cian.ru/rent/flat/241839623/;Москва;rent;flat;12;14;2;55.0;79000;0;Измайлово;Измайловский проспект;55;Измайловская
Urban Heights Moscow City;real_estate_agent;https://www.cian.ru/rent/flat/304625299/;Москва;rent;flat;80;95;2;65.0;230000;0;Пресненский;набережная Пресненская;12;Деловой центр
МТМ-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/308934880/;Москва;rent;flat;2;20;3;75.0;140000;0;Филевский парк;Большая Филевская ;3к3;Фили
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/310901014/;Москва;rent;flat;4;6;2;140.0;450000;0;Хамовники;Бутиковский переулок;3;Парк Культуры
ID 11379024;unknown;https://www.cian.ru/rent/flat/308834728/;Москва;rent;flat;11;26;1;20.6;69990;0;Нагатино-Садовники;Нагатинская набережная;10А;Нагатинская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312591005/;Москва;rent;flat;12;22;1;17.4;80000;0;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/314035056/;Москва;rent;flat;6;28;1;42.0;94400;0;Можайский; Петра Алексеева;14;Давыдково
Colife;real_estate_agent;https://www.cian.ru/rent/flat/312431638/;Москва;rent;flat;8;24;2;56.6;82500;0;Выхино-Жулебино;Волгоградский проспект;183К2;Юго-Восточная
ID 73823145;homeowner;https://www.cian.ru/rent/flat/271133515/;Москва;rent;flat;8;14;1;39.0;75000;0;Братеево;Алма-Атинская ;4;Алма-Атинская
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/308537842/;Москва;rent;flat;3;15;2;47.0;116900;0;Хорошевский;Ходынский бульвар;20А;ЦСКА
ID 15771003;unknown;https://www.cian.ru/rent/flat/288451329/;Москва;rent;flat;13;22;1;55.0;90000;0;Фили-Давыдково; Ватутина;9;Кунцевская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/312539296/;Москва;rent;flat;3;15;3;92.0;500000;0;Пресненский;2-я Звенигородская ;14;Улица 1905 года
АВИА-АПАРТ;real_estate_agent;https://www.cian.ru/rent/flat/300878014/;Москва;rent;flat;3;13;2;47.0;118900;0;Хорошевский;Ходынский бульвар;2;ЦСКА
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313653386/;Москва;rent;flat;3;21;3;92.0;500000;0;Пресненский;2-я Звенигородская ;14;Улица 1905 года
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313942415/;Москва;rent;flat;1;5;1;50.2;55600;0;Куркино;Куркинское шоссе;17к9;Химки
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313087181/;Москва;rent;flat;8;24;1;24.0;63900;0;Покровское-Стрешнево;Волоколамское шоссе;81/2с2;Трикотажная
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/314056749/;Москва;rent;flat;18;25;1;35.2;78200;0;Хорошево-Мневники; Народного Ополчения;11;Народное Ополчение
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313957695/;Москва;rent;flat;18;28;-1;33.0;90700;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Colife;real_estate_agent;https://www.cian.ru/rent/flat/313540756/;Москва;rent;flat;7;24;1;20.0;75000;0;Очаково-Матвеевское;Озерная ;44;Озёрная
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313089627/;Москва;rent;flat;12;13;2;56.0;149700;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/309549756/;Москва;rent;flat;9;12;-1;310.0;800000;0;Раменки; Улофа Пальме;7;Минская
ДОМ.РФ Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311437565/;Москва;rent;flat;11;13;2;64.0;158400;0;Филевский парк; Василисы Кожиной;13;Парк Победы
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/309686262/;Москва;rent;flat;2;6;4;160.0;900000;0;Хамовники;переулок Коробейников;1;Парк Культуры
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/312772488/;Москва;rent;flat;2;7;4;89.0;260000;0;Пресненский;Богословский переулок;3;Пушкинская
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310987726/;Москва;rent;flat;21;25;1;25.0;63000;0;; Анны Ахматовой;11к3;Рассказовка
ID 52443511;realtor;https://www.cian.ru/rent/flat/313181424/;Москва;rent;flat;1;17;1;40.0;65000;0;Митино;Митинская ;28К1;Митино
Циан х ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/313303307/;Москва;rent;flat;1;7;2;51.9;78200;0;; 5-я Лесные Поляны;29;Коммунарка
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/312715619/;Москва;rent;flat;14;20;2;70.0;170000;0;Якиманка; Шаболовка;10к1;Шаболовская
