author_type,floor,floors_count,rooms_count,total_meters,price_per_month,district,street,underground
real_estate_agent,9,18,4,133.0,163000,Щукино, Ирины Левченко,Октябрьское поле
real_estate_agent,3,3,2,47.0,110000,Донской,Духовской переулок,Тульская
real_estate_agent,8,41,1,42.0,160000,Хорошевский,Ленинградский проспект,Аэропорт
real_estate_agent,9,40,2,45.0,190000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,4,4,3,150.0,390000,Басманный,Малый Козловский переулок,Красные ворота
real_estate_agent,6,20,2,86.0,380000,Пресненский,Мантулинская ,Москва-Сити
real_estate_agent,9,15,4,121.0,330000,Пресненский,Зоологическая ,Баррикадная
real_estate_agent,11,11,3,100.0,170000,Тверской,Лесная ,Белорусская
real_estate_agent,11,12,4,257.0,2000000,Раменки, Улофа Пальме,Минская
real_estate_agent,17,23,4,145.0,270000,Сокол, Алабяна,Панфиловская
homeowner,7,34,1,34.0,90000,Щукино,Авиационная ,Щукинская
real_estate_agent,11,12,4,257.0,2000000,Раменки, Улофа Пальме,Минская
realtor,4,4,1,32.0,70000,Нижегородский,Подъемная ,Авиамоторная
real_estate_agent,4,10,4,127.0,440837,Дорогомилово,Кутузовский проспект,Кутузовская
real_estate_agent,9,13,3,100.0,450000,Пресненский, Сергея Макеева,Улица 1905 года
real_estate_agent,7,21,3,69.0,210000,Хорошевский,Хорошевское шоссе,Хорошёвская
real_estate_agent,19,21,2,43.0,150000,Хорошевский,Хорошевское шоссе,Полежаевская
real_estate_agent,9,15,4,121.0,330000,Пресненский,Зоологическая ,Баррикадная
real_estate_agent,16,18,5,329.0,600000,Якиманка, Шаболовка,Шаболовская
real_estate_agent,7,7,3,85.0,200000,Басманный,Мясницкая ,Чистые пруды
real_estate_agent,10,43,4,210.0,500000,Фили-Давыдково,Давыдковская ,Славянский бульвар
real_estate_agent,17,23,4,145.0,270000,Сокол, Алабяна,Панфиловская
real_estate_agent,9,41,3,70.8,200000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,1,3,3,163.0,800000,Хамовники,2-й Зачатьевский переулок,Парк Культуры
real_estate_agent,7,19,3,76.0,190000,Алексеевский,Новоалексеевская ,Алексеевская
real_estate_agent,8,39,2,55.0,120000,Западное Дегунино,Ильменский проезд,Селигерская
realtor,4,8,1,40.0,225000,Таганский,Славянская площадь,Китай-город
real_estate_agent,7,7,2,98.0,225000,Тверской,Тверская ,Маяковская
real_estate_agent,1,37,4,130.0,370000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха
real_estate_agent,2,17,1,37.0,42000,Некрасовка,2-я Вольская ,Люберцы
real_estate_agent,6,25,2,65.0,140000,Фили-Давыдково,Давыдковская ,Славянский бульвар
real_estate_agent,14,17,3,78.0,340000,Пресненский, Сергея Макеева,Улица 1905 года
